,statement,source,year,veracity
7_10,“Word on the street is that Joe Biden got tonight’s debate questions in advance.”,Todd Starnes,"stated on September 29, 2020 in a tweet:",pants-fire
7_11,"""At the Democratic convention, the Pledge of Allegiance was read with the words 'under God' removed.""",Republican Party of Wisconsin,"stated on September 17, 2020 in Campaign mailer:",barely-true
7_12,"Like Al-Qaeda and ISIS, Amy Coney Barrett has said her “end goal is to end the separation of church and state & build a ‘Kingdom of God’ in the United States.”",Instagram posts,"stated on September 22, 2020 in an Instagram post:",false
7_13,"Says Joe Biden's plan for net-zero emissions ""would instantly shut down all fracking and all mining immediately in Pennsylvania.""",Donald Trump,"stated on September 22, 2020 in a speech:",false
7_14,"A U-Haul operated by antifa activists distributed “shields, weapons & black bloc” to protesters in Louisville, Ky., and is linked to “a George Soros-funded initiative.”",Facebook posts,"stated on September 23, 2020 in a series of images:",barely-true
7_15,"""Biden wants to end Shareholder Capitalism.. that's your 401k..your pensions.. your retirement.. are you voting for that???""",Facebook posts,"stated on July 17, 2020 in a Facebook post:",barely-true
7_16,“24 of every 100 kids in school today speak Spanish.”,Joe Biden,"stated on September 15, 2020 in a speech at a Florida event:",half-true
7_17,"“Putting a national lockdown, stay-at-home orders, is like house arrest. Other than slavery, which was a different kind of restraint, this is the greatest intrusion on civil liberties in American history.""",William Barr,"stated on September 16, 2020 in a speech at a Hillsdale College event:",false
7_18,“The Trump campaign asked that I release the list (of potential Supreme Court nominees) only after (Ruth Bader Ginsburg) passed away.”,Joe Biden,"stated on September 20, 2020 in a speech:",false
7_19,On confirming a Supreme Court justice nominee in a presidential election year.,Lindsey Graham,"stated on September 19, 2020 in a tweet:",full-flop
7_20,"""This Is Real: Biden Waves To An Empty Field.""",Facebook posts,"stated on September 16, 2020 in a Facebook post:",false
7_21,"""If the president had done his job, had done his job from the beginning, all the people would still be alive. All the people. I'm not making this up. Just look at the data.""",Joe Biden,"stated on September 17, 2020 in a CNN town hall:",false
7_22,“Iran has stockpiled 10 times as much enriched uranium as it had” in 2016.,Joe Biden,"stated on September 13, 2020 in an op-ed on the CNN website:",true
7_23,"""There are hit squads being trained all over this country” to violently oppose a second term for President Donald Trump.",Michael Caputo,"stated on September 13, 2020 in a Facebook video:",false
7_24,Says Joe Biden played N.W.A.’s “F--- Tha Police” during an event in Florida.,Donald Trump,"stated on September 16, 2020 in a pair of tweets:",pants-fire
7_25,"Says a photo shows an ambushed Los Angeles police officer and that the NFL intends to “honor and praise the organization” that stood outside of the hospital chanting, “We hope she dies.”",Facebook posts,"stated on September 13, 2020 in a Facebook post:",false
7_26,"“In 1983, Joe Biden voted in favor of taxing 50% of Social Security” and in 1993, Biden “was the deciding vote in raising the percentage taxed on Social Security from 50% to 85%.”",Facebook posts,"stated on September 7, 2020 in a Facebook post:",half-true
7_27,Says Donald Trump “let federal contractors double offshoring jobs in his first 18 months in office.”,Joe Biden,"stated on September 7, 2020 in a Labor Day event:",half-true
7_28,"""After the last administration nearly killed the US auto industry, I saved the U.S. auto industry ... We brought you a lot of car plants… (and Japan) “announced five car companies are coming to Michigan.”",Donald Trump,"stated on September 10, 2020 in a speech at a rally in Michigan:",false
7_29,Says President Donald Trump “never downplayed the virus.”,Kayleigh McEnany,"stated on September 9, 2020 in a White House press briefing:",pants-fire
8_0,Says Joe Biden “wants to put a 3% annual federal tax on your home.”,Facebook posts,"stated on September 6, 2020 in a text post:",false
8_1,Says “Kamala Harris is not able to be VP. Because she's a felon. She lied on her application to buy a gun here in CA.”,Facebook posts,"stated on September 1, 2020 in a Facebook post:",pants-fire
8_2,"“It cost taxpayers $120,000 to fly Nancy (Pelosi) to get her hair done.”",Facebook posts,"stated on September 3, 2020 in a text post:",false
8_3,"""If Trump gets his way, Social Security benefits will run out in just three years from now.”",Joe Biden,"stated on September 1, 2020 in a campaign ad:",barely-true
8_4,"“Biden failed to condemn far-left violent groups like Antifa, instead faulting only the brave men and women of law enforcement.”",Donald Trump,"stated on September 1, 2020 in News release:",false
8_5,“Only 6% of the people actually died from COVID.” The others “died from other reasons.”,Donald Trump,"stated on September 1, 2020 in a Fox News interview:",pants-fire
8_6,"""When I was vice president, violent crime fell 15% in this country. ... The murder rate now is up 26% across the nation this year under Donald Trump.""",Joe Biden,"stated on August 31, 2020 in a speech:",half-true
8_7,Says his policy is that “health insurance should always cover preexisting conditions. For anyone. Period.”,David Perdue,"stated on August 18, 2020 in a campaign ad:",false
8_8,“More cops have died from COVID this year than have been killed on patrol.”,Joe Biden,"stated on August 31, 2020 in a speech in Pittsburgh:",mostly-true
8_9,Says Tony Evers and Mandela Barnes “have participated in rallies that have done more to incite than calm the situation” in Kenosha,Ron Johnson,"stated on August 31, 2020 in a statement:",false
8_10,“The entire city (of Portland) is ablaze all the time.”,Donald Trump,"stated on August 31, 2020 in a press conference:",false
8_11,“I am not banning fracking.”,Joe Biden,"stated on August 31, 2020 in a speech:",mostly-true
8_12,"Says Ady Barkan asked Joe Biden, “Do we agree that we can redirect some of the funding for police?”",Steve Scalise,"stated on August 30, 2020 in a video:",pants-fire
8_13,Says Joe Biden “abandoned Scranton.”,Donald Trump,"stated on August 20, 2020 in a rally:",pants-fire
8_14,"Says Gov. Tony Evers and Lt. Gov. Mandela Barnes, after police shooting of Jacob Blake, ""did not call for peace. They did not encourage calm.",Howard Marklein,"stated on August 25, 2020 in News release:",barely-true
8_15,"“Trump denies fire assistance to California because they didn't vote for him, but helped Russia with their wildfires in Siberia.”",Facebook posts,"stated on August 23, 2020 in a Facebook post:",false
8_16,"Police are ""20.8 times more likely to kill than be killed by a criminal.""",Chris Larson,"stated on August 24, 2020 in Facebook post:",true
8_17,Says Donald Trump “proposes cutting a half a billion dollars of local police support.”,Joe Biden,"stated on August 23, 2020 in an interview with ABC News:",mostly-true
8_18,Democrats and Joe Biden “want to abolish the suburbs altogether by ending single-family home zoning.”,Patricia McCloskey,"stated on August 24, 2020 in a speech at the 2020 Republican National Convention:",false
8_19,"""In 3 months, Melania took 21 trips to NY, to get her hair done, at taxpayer cost of $675,000 or $32,143/trip.""",Facebook posts,"stated on August 8, 2020 in a Facebook post:",false
8_20,"“So this is just a way they’re trying to steal the election, and everybody knows that. Because the only way they’re going to win is by a rigged election.”",Donald Trump,"stated on August 20, 2020 in comments in Scranton, Pa.:",pants-fire
8_21,Says Donald Trump's payroll tax deferral “could leave American workers liable for thousands of dollars during tax season and could potentially leave programs like Social Security and Medicare weakened.”,Eugene DePasquale,"stated on August 8, 2020 in a tweet:",mostly-true
8_22,Kanye West’s access to Wisconsin’s ballot was “denied by liberals.”,Republican Party of Wisconsin,"stated on August 20, 2020 in News release:",barely-true
8_23,“The DNC omitted ‘one nation under God’ from the Pledge of Allegiance.”,Peggy Hubbard,"stated on August 20, 2020 in a Facebook post:",barely-true
8_24,"Says President Barack Obama “spied on my campaign, and got caught!”",Donald Trump,"stated on August 19, 2020 in a tweet:",false
8_25,"Says Joe Biden told Americans, ‘If you elect me, your taxes are going to be raised, not cut.”",America First,"stated on August 4, 2020 in an ad:",barely-true
8_26,Goodyear Tires “announced a BAN ON MAGA HATS…This is what the Radical Left Democrats do.”,Donald Trump,"stated on August 19, 2020 in a tweet:",barely-true
8_27,"The coronavirus has seen a “big surge in New Zealand. It's terrible. We don't want that.""",Donald Trump,"stated on August 17, 2020 in a speech:",false
8_28,"“In California, Democrats have intentionally implemented rolling blackouts.”",Donald Trump,"stated on August 18, 2020 in a tweet:",false
8_29,"""Our (COVID-19) numbers are better than almost all countries.""",Donald Trump,"stated on August 17, 2020 in a campaign rally speech in Wisconsin:",false
9_0,"Says Democratic presidential nominee Joe Biden backs a fracking ban that would cost 100,000 Wisconsin jobs",Wisconsin Trump Victory,"stated on August 12, 2020 in an email:",false
9_1,Says Kamala Harris wants to eliminate beef.,Facebook posts,"stated on August 11, 2020 in Facebook post:",false
9_2,"The Trump administration “added over 209,000 jobs, including 16,000 new manufacturing jobs, to Pennsylvania over the last three years.",Mike Pence,"stated on July 29, 2020 in an email:",false
9_3,"Says Donald Trump “just promised that if he wins reelection, he’ll gut Social Security and Medicare.”",Kamala Harris,"stated on August 9, 2020 in an Instagram post:",barely-true
9_4,"“Depending on which study you look at, either 68% or 5 out of 6 individuals ... are making more on unemployment than they did on the job.”",Ron Johnson,"stated on August 2, 2020 in a TV interview:",mostly-true
